,0,0,0,0,,2021-09-13 16:19:59.554623
ACCIONA,"148,1000","3,06","149,5000","144,6000",13/09/2021,2021-09-13 16:19:59.554623
ACERINOX,"11,3550","-0,26","11,4900","11,2700",13/09/2021,2021-09-13 16:19:59.555622
ACS,"23,4000","4,00","23,5300","22,6700",13/09/2021,2021-09-13 16:19:59.555622
AENA,"133,5000","1,56","134,1000","132,0000",13/09/2021,2021-09-13 16:19:59.555622
ALMIRALL,"13,9400","0,65","14,0600","13,7600",13/09/2021,2021-09-13 16:19:59.555622
AMADEUS,"52,0000","0,62","52,5800","51,6400",13/09/2021,2021-09-13 16:19:59.555622
ARCELORMIT.,"27,9050","-0,02","28,3750","27,7650",13/09/2021,2021-09-13 16:19:59.555622
B.SANTANDER,"3,1140","2,33","3,1140","3,0485",13/09/2021,2021-09-13 16:19:59.555622
BA.SABADELL,"0,6008","3,09","0,6016","0,5824",13/09/2021,2021-09-13 16:19:59.555622
BANKINTER,"4,9430","1,54","4,9500","4,8570",13/09/2021,2021-09-13 16:19:59.555622
BBVA,"5,5970","1,76","5,6020","5,4820",13/09/2021,2021-09-13 16:19:59.555622
CAIXABANK,"2,6420","2,44","2,6420","2,5760",13/09/2021,2021-09-13 16:19:59.555622
CELLNEX,"56,6600","-1,01","57,5600","56,6600",13/09/2021,2021-09-13 16:19:59.555622
CIE AUTOMOT.,"23,7000","0,77","23,8000","23,4400",13/09/2021,2021-09-13 16:19:59.555622
ENAGAS,"18,8900","1,42","18,9350","18,6450",13/09/2021,2021-09-13 16:19:59.555622
ENDESA,"20,4700","1,64","20,5900","20,1400",13/09/2021,2021-09-13 16:19:59.555622
FERROVIAL,"24,9100","1,59","25,0800","24,6000",13/09/2021,2021-09-13 16:19:59.555622
FLUIDRA,"37,5500","0,54","38,1000","37,1000",13/09/2021,2021-09-13 16:19:59.555622
GRIFOLS CL.A,"20,8900","2,00","21,0300","20,5300",13/09/2021,2021-09-13 16:19:59.555622
IAG,"1,7380","2,03","1,7405","1,6600",13/09/2021,2021-09-13 16:19:59.555622
IBERDROLA,"10,2550","1,84","10,2850","10,0950",13/09/2021,2021-09-13 16:19:59.555622
INDITEX,"29,5000","0,27","29,6900","29,0000",13/09/2021,2021-09-13 16:19:59.555622
INDRA A,"8,9850","1,53","9,0450","8,8550",13/09/2021,2021-09-13 16:19:59.555622
INM.COLONIAL,"8,7350","3,93","8,9050","8,4250",13/09/2021,2021-09-13 16:19:59.555622
MAPFRE,"1,8330","2,23","1,8370","1,8045",13/09/2021,2021-09-13 16:19:59.555622
MELIA HOTELS,"5,7760","1,44","5,7800","5,6460",13/09/2021,2021-09-13 16:19:59.555622
MERLIN,"9,2780","1,27","9,2860","9,0700",13/09/2021,2021-09-13 16:19:59.555622
NATURGY,"21,9800","1,15","22,0000","21,7600",13/09/2021,2021-09-13 16:19:59.555622
PHARMA MAR,"78,4600","-1,93","80,5000","78,0400",13/09/2021,2021-09-13 16:19:59.555622
R.E.C.,"17,0600","1,22","17,1650","16,9150",13/09/2021,2021-09-13 16:19:59.555622
REPSOL,"9,7830","3,52","9,7860","9,4410",13/09/2021,2021-09-13 16:19:59.555622
SIEMENS GAME,"23,2200","1,98","23,2700","22,4900",13/09/2021,2021-09-13 16:19:59.555622
SOLARIA,"15,4450","2,86","15,5900","14,9900",13/09/2021,2021-09-13 16:19:59.555622
TELEFONICA,"4,1610","0,98","4,2030","4,1065",13/09/2021,2021-09-13 16:19:59.555622
VISCOFAN,"59,5000","0,25","60,0500","59,3000",13/09/2021,2021-09-13 16:19:59.555622
